,profession,Corrected,Categorie
1748,agriculteur,agriculteur,commerçant
1749,etudiant,étudiant,enseignement
1752,journaliste,journaliste,None
1753,administrateur civil,Administrateur civil,None
1754,ingenieur genie civil,ingénieur génie civil,enseignement
1756,coiffreur en batiment,coiffeur en bâtiment,transport
1758,menagere,ménagère,None
1761,architecte,architecte,None
1762,professionnel de sante,Professionnel de santé,médical
1763,responsable rh,Responsable RH,None
1764,administrateur civil,Administrateur civil,None
1766,eleve,élevé,None
1767,directeur sesag,Directeur ses ag,enseignement
1768,administrateur civil,Administrateur civil,None
1769,expert comptable,expert-comptable,None
1770,etudiant,étudiant,enseignement
1771,secretaire,secrétaire,transport
1773,professionnel de sante,Professionnel de santé,médical
1774,femme au foyer,Femme au foyer,None
1776,travailleur ong,Travailleur ONG,None
1777,ingenieur,ingénieur,enseignement
1778,commercant,commerçant,commerçant
1779,professeur,professeur,enseignement
1780,technicien superieur en tourisme,Technicien supérieur en tourisme,enseignement
1783,agent de sante,Agent de santé,médical
1784,directrice administrative et financiere,Directrice administrative et financière,enseignement
1785,autre,autre,None
1787,enseignant,enseignement,enseignement
1788,menagere,ménagère,None
1789,etudiant,étudiant,enseignement
1791,eleve,élevé,None
1792,business man,Business man,None
1793,menagere,ménagère,None
1794,eleve,élevé,None
1795,ingenieur,ingénieur,enseignement
1796,menagere,ménagère,None
1797,comptable access,Comptable accès,None
1798,etudiant,étudiant,enseignement
1799,etudiant,étudiant,enseignement
1800,etudiante,étudiante,enseignement
1801,entrepreneur,entrepreneur,commerçant
1802,retraite,retraite,transport
1803,commercante,commerçant,commerçant
1804,agent d'exploitation,Agent d'exploitation,None
1805,menagere,ménagère,None
1806,femme au foyer,Femme au foyer,None
1807,menagere,ménagère,None
1808,etudiant,étudiant,enseignement
1813,retraite,retraite,transport
1814,retraite,retraite,transport
1815,infirmiere,infirmière,médical
1817,sp,SP,None
1818,commercante,commerçant,commerçant
1819,etudiante,étudiante,enseignement
1821,comptable,comptable,None
1822,femme de charge,Femme de charge,None
1823,agent de sante,Agent de santé,médical
1824,artiste,artiste,None
1825,technicien,technicien,None
1826,agent d'administratif,Agent d'administratif,médical
1828,commercant,commerçant,commerçant
1829,medecin,médical,médical
1830,etudiant,étudiant,enseignement
1831,etudiante,étudiante,enseignement
1832,medecin,médical,médical
1833,commercante,commerçant,commerçant
1834,commercante,commerçant,commerçant
1835,medecin,médical,médical
1836,eleve,élevé,None
1837,eleve,élevé,None
1838,eleve,élevé,None
1839,enseignante,enseignement,enseignement
1840,etudiant,étudiant,enseignement
1841,militaire,militaire,transport
1842,assistance de direction,Assistance de direction,transport
1843,boutiquier,boutiquier,commerçant
1844,juriste,juriste,None
1845,manager,manager,None
1846,caissiere,caissière,None
1847,etudiant,étudiant,enseignement
1848,infographe,infographe,None
1849,enseignant,enseignement,enseignement
1852,emploiye de maison,employé de maison,None
1853,informaticien,informaticien,None
1854,medecin,médical,médical
1855,eleve,élevé,None
1856,etudiante,étudiante,enseignement
1858,tailleur,tailleur,None
1859,pharmacienne,pharmacienne,médical
1860,comptable,comptable,None
1861,eleve,élevé,None
1862,gerant boutique,gérant boutique,commerçant
1865,chauffeur,chauffeur,transport
1866,agent immobilier,Agent immobilier,None
1867,menuisier,menuisier,None
1869,medecin,médical,médical
1870,etudiante,étudiante,enseignement
1871,etudiant,étudiant,enseignement
1872,etudiante,étudiante,enseignement
1873,eleve,élevé,None
1874,superviseur aibd,Superviseur Abd,None
1875,ingenieur,ingénieur,enseignement
1876,soudeur,soudeur,None
1877,mecanicien,mécanicien,None
1878,q.h.s.e,q.h.s.e,None
1879,soudeur metalique,Soudeur métallique,None
1880,chauffeur,chauffeur,transport
1881,commercante,commerçant,commerçant
1882,dentiste,dentiste,None
1883,technicien,technicien,None
1884,secretaire,secrétaire,transport
1885,assistant dentiste,Assistant dentiste,None
1886,eleve,élevé,None
1888,soudeur metalique,Soudeur métallique,None
1889,cultivateur,cultivateur,commerçant
1890,cultivateur,cultivateur,commerçant
1891,chaudronier,chaudronnier,None
1892,medecin,médical,médical
1894,fonctionnaire aux nations unies,Fonctionnaire aux nations unies,transport
1895,chef d'entreprise,Chef d'entreprise,transport
1896,autre,autre,None
1897,autre,autre,None
1898,autre,autre,None
1899,autre,autre,None
1901,commercant,commerçant,commerçant
1902,ingenieur biomedical,ingénieur biomédical,enseignement
1903,retraite,retraite,transport
1904,eleve,élevé,None
1905,professionel de sante,professionnel de santé,enseignement
1906,administrateur,administrateur,None
1907,financier,financier,enseignement
1909,commercante,commerçant,commerçant
1911,commercante,commerçant,commerçant
1912,menagere,ménagère,None
1915,menagere,ménagère,None
1916,talibe,talibé,None
1918,talibe,talibé,None
1920,commercant,commerçant,commerçant
1921,sapeur,sapeur,None
1922,etudiant,étudiant,enseignement
1923,autre,autre,None
1924,autre,autre,None
1925,consultanat pme,consultant PME,None
1927,eleve coranique,élevé coranique,enseignement
1929,puericultrice,puéricultrice,None
